StoreID,Year,Sales Amount,Format,Size,Climate,Location,Geography,In Stock %,Customer Profile,Household Income
1032,2012,3754384,Standalone,75000,cold,Rural,West,92,C,M
1034,2012,4203934,City Mall,65000,hot,Urban,South,97,B,L
1037,2012,4015766,Urban Center,45000,hot,Urban,South,97,B,L
1038,2012,5534400,City Mall,65000,cold,Urban,West,90,B,M
1039,2012,4475260,Standalone,80000,cold,Rural,West,95,B,M
1040,2012,5523519,Urban Center,65000,cold,Urban,West,90,B,M
1041,2012,8606266,City Mall,90000,Hot,Urban,South,94,B,M
1042,2012,4669519,City Mall,90000,hot,Urban,East,90,A,M
1043,2012,6039912,Strip Mall,80000,Hot,Rural,East,95,B,H
1044,2012,4424154,Standalone,70000,Moderate,Rural,West,93,C,M
1045,2012,6869803,Standalone,90000,Moderate,Urban,North,95,A,H
1046,2012,5777797,City Mall,70000,Moderate,Rural,North,94,C,M
1047,2012,10349562,Super Center,90000,Moderate,Urban,East,95,A,H
1048,2012,3980122,Strip Mall,55000,cold,Rural,West,93,B,M
1049,2012,5682937,Urban Center,80000,hot,Rural,East,93,A,L
1050,2012,4359215,Strip Mall,80000,Moderate,Rural,West,96,C,M
1051,2012,4843177,Strip Mall,100000,cold,Rural,East,96,B,L
1052,2012,4756196,Urban Center,70000,Moderate,Urban,East,98,B,L
1053,2012,2287782,Urban Center,45000,cold,Rural,North,96,B,M
1055,2012,6047139,City Mall,95000,Hot,Rural,East,96,B,H
1056,2012,5672612,Urban Center,75000,Moderate,Rural,East,92,A,L
1057,2012,9605211,Super Center,100000,Cold,Rural,West,95,B,H
1058,2012,5783856,City Mall,75000,Cold,Urban,North,94,B,M
1059,2012,3735975,City Mall,45000,cold,Urban,West,90,C,L
1061,2012,6287671,City Mall,90000,Cold,Rural,West,97,B,M
1062,2012,5018045,Strip Mall,75000,hot,Urban,North,95,B,M
1063,2012,2891292,City Mall,60000,hot,Rural,South,92,C,M
1064,2012,3989768,City Mall,40000,hot,Urban,South,93,B,M
1065,2012,6556459,City Mall,90000,Hot,Urban,North,98,B,M
1066,2012,3445990,Standalone,45000,hot,Rural,East,86,B,M
1067,2012,3457204,Standalone,60000,hot,Rural,South,88,C,L
1068,2012,5888153,Standalone,75000,Moderate,Urban,South,95,A,M
1069,2012,7630269,City Mall,90000,Cold,Rural,East,98,B,M
1070,2012,5089996,Urban Center,55000,Moderate,Urban,South,93,A,L
1072,2012,4816366,City Mall,80000,Moderate,Rural,East,96,C,M
1073,2012,7034823,Standalone,100000,Moderate,Urban,North,95,B,M
1074,2012,4751685,Urban Center,80000,hot,Urban,East,98,C,M
1075,2012,4191525,City Mall,50000,Moderate,Urban,North,97,B,L
1076,2012,5576023,City Mall,80000,hot,Rural,East,90,B,M
1077,2012,2750452,Standalone,50000,Moderate,Rural,North,88,B,M
1078,2012,3156023,City Mall,45000,cold,Urban,West,95,B,L
1079,2012,4601084,Standalone,50000,cold,Urban,West,90,B,M
1081,2012,3361350,Urban Center,60000,cold,Rural,East,90,C,M
1083,2012,7867012,Super Center,100000,Moderate,Urban,East,97,A,M
1084,2012,3963892,City Mall,45000,cold,Rural,West,93,B,M
1085,2012,5825718,Strip Mall,75000,cold,Urban,North,96,A,M
1086,2012,6490544,Strip Mall,80000,Cold,Rural,North,98,B,H
1087,2012,3783620,Standalone,60000,cold,Rural,West,92,C,M
1088,2012,3388204,City Mall,55000,hot,Rural,East,90,B,M
1089,2012,5009743,Urban Center,70000,hot,Urban,North,95,B,M
1090,2012,3752432,Urban Center,80000,cold,Rural,West,92,C,M
1091,2012,3982671,Strip Mall,50000,hot,Rural,West,93,B,M
1092,2012,4322596,Urban Center,70000,Moderate,Rural,West,96,C,M
1093,2012,6448777,Strip Mall,80000,Cold,Rural,West,97,B,H
1094,2012,3421873,City Mall,50000,hot,Rural,East,90,C,M
1096,2012,7049034,Super Center,90000,Moderate,Urban,North,95,A,M
1097,2012,3868800,City Mall,50000,cold,Rural,West,92,C,M
1098,2012,7231575,Super Center,80000,Hot,Rural,West,97,B,H
1099,2012,6035785,Strip Mall,85000,Moderate,Urban,East,95,B,H
1100,2012,7449732,City Mall,90000,Cold,Rural,East,98,B,H
1101,2012,2276563,Urban Center,55000,cold,Rural,North,96,B,L
1102,2012,3562819,City Mall,55000,Moderate,Urban,North,88,B,L
1103,2012,4580199,Strip Mall,60000,cold,Rural,West,90,B,M
1105,2012,3679338,City Mall,50000,Moderate,Urban,North,89,C,L
1106,2012,4925888,Standalone,80000,cold,Rural,East,95,C,M
1107,2012,1830735,Strip Mall,45000,Moderate,Urban,West,94,B,M
1108,2012,9308462,Super Center,90000,Cold,Rural,West,94,B,H
1109,2012,8726239,Super Center,85000,Moderate,Urban,North,94,A,H
1110,2012,3620180,City Mall,65000,Moderate,Urban,North,88,C,L
1111,2012,7052968,Super Center,85000,Moderate,Urban,North,97,B,M
1112,2012,6256618,City Mall,80000,Moderate,Rural,West,96,B,M
1113,2012,2821698,Standalone,50000,Moderate,Rural,North,88,B,M
1114,2012,6837631,City Mall,100000,Hot,Urban,North,98,A,H
1115,2012,5735829,City Mall,80000,hot,Rural,South,93,C,L
1116,2012,7728029,Super Center,110000,Moderate,Rural,East,97,A,H
1117,2012,4250580,Urban Center,70000,hot,Urban,West,96,B,L
1118,2012,4402040,Strip Mall,65000,Moderate,Rural,West,96,C,M
1119,2012,4285676,Urban Center,70000,hot,Rural,West,96,B,M
1120,2012,5743987,City Mall,65000,hot,Rural,South,94,C,M
1121,2012,4688495,Urban Center,100000,hot,Urban,East,89,C,L
1122,2012,5566906,City Mall,90000,hot,Urban,West,90,B,M
1123,2012,4174683,City Mall,50000,Moderate,Urban,North,97,B,L
1124,2012,3238092,Urban Center,60000,cold,Urban,East,93,B,M
1125,2012,1992031,Standalone,45000,cold,Rural,West,90,C,M
1126,2012,3290376,Urban Center,60000,cold,Rural,East,90,B,M
1127,2012,7179780,City Mall,90000,Hot,Urban,West,97,A,H
1128,2012,5019077,City Mall,55000,Moderate,Urban,North,95,B,M
1130,2012,4246530,Urban Center,80000,hot,Urban,South,96,B,L
1131,2012,7416436,City Mall,85000,Cold,Rural,West,99,B,H
1132,2012,5166227,Standalone,55000,cold,Urban,South,93,B,M
1133,2012,9079671,Super Center,100000,Moderate,Urban,West,94,A,H
1134,2012,3645402,Urban Center,45000,Moderate,Urban,North,89,C,L
1136,2012,4954260,Strip Mall,70000,hot ,Rural,East,95,C,M
1137,2012,6085688,City Mall,100000,Moderate,Rural,West,96,A,H
1138,2012,4897144,Standalone,85000,cold,Rural,East,96,C,L
1139,2012,4897117,Strip Mall,90000,cold,Rural,East,96,B,M
1140,2012,5815002,Strip Mall,79000,cold,Urban,North,96,B,M
1141,2012,3744099,Urban Center,50000,cold,Urban,West,91,C,L
1143,2012,4764959,City Mall,75000,Moderate,Urban,East,96,B,M
1144,2012,7930309,City Mall,95000,Hot,Urban,South,97,A,H
1145,2012,13470119,Super Center,100000,Moderate,Urban,East,95,A,H
1146,2012,9139771,Super Center,100000,Moderate,Rural,West,94,B,H
1147,2012,5388782,Standalone,50000,cold,Urban,West,93,C,M
1148,2012,3145089,City Mall,45000,cold,Urban,West,95,B,L
1149,2012,10937038,Super Center,125000,Moderate,Urban,East,95,A,H
1150,2012,5598817,Urban Center,75000,Moderate,Rural,East,90,A,L
1151,2012,4991457,Urban Center,65000,hot,Urban,North,95,C,M
1152,2012,4812232,City Mall,80000,Moderate,Rural,East,96,C,L
1153,2012,8043153,City Mall,100000,Hot,Urban,South,97,A,M
1154,2012,6033168,Standalone,90000,Moderate,Urban,East,95,A,H
1155,2012,5813137,Standalone,80000,cold,Urban,North,96,B,M
1156,2012,2226291,Standalone,45000,Moderate,Urban,North,97,C,L
1157,2012,1549522,Standalone,45000,Moderate,Urban,South,90,C,L
1158,2012,1890670,Strip Mall,30000,cold,Rural,North,98,C,L
1161,2012,1888957,Strip Mall,30000,Moderate,Rural,North,98,C,L
1162,2012,3274797,Urban Center,55000,cold,Rural,East,93,C,M
1163,2012,1918850,Strip Mall,75000,cold,Rural,North,98,B,L
1164,2012,1647769,Standalone,45000,Moderate,Rural,South,86,C,L
1165,2012,2237522,Standalone,45000,cold,Urban,North,96,B,L
1166,2012,750850,Strip Mall,40000,cold,Urban,North,91,C,L
1167,2012,2824188,City Mall,45000,Moderate,Rural,South,90,C,M
1169,2012,2313223,Standalone,50000,cold,Rural,North,94,B,M
1170,2012,2095638,Standalone,50000,Moderate,Urban,West,98,B,L
1172,2012,1444043,Standalone,40000,cold,Rural,North,92,C,L
1173,2012,1925265,Strip Mall,60000,cold,Rural,North,93,B,L
